farm_id,max,mean,A,wake_pool,WCI,spacing_D,aspect_ratio,n_turb_x,pc1_share,axis_deg,ws_mean,ws_std,weibull_A,weibull_k,frac_below_rated,orient_sensitivity,gain_proxy_raw,wd_entropy_norm,exp_wake_loss,lat,lon,country,n_turb_y,n_turb,WCI_x_pool,log_n,WCI_density,ws_x_WCI,pool_density
55,3210963225.472611,3192600044.6396823,0.5751794955888729,0.18660046013654777,0.34099999999999997,2.9,1.82,47,0.891,113.3,9.470257004849602,4.4211707857553035,10.67870207792479,2.2647213304811142,0.6477680748649758,0.3742927805703852,0.0453702482153555,0.1764025898654115,0.0596039533358038,53.1359,1.1474,United Kingdom,88,47,0.06363075690656278,1.6720978579357175,0.11758620689655172,3.2293576386537137,0.064344986253982
56,1924813912.3520536,1853325958.7990968,3.8572790292798254,0.10973842992137275,0.3875333333333333,3.1,1.68,59,0.873,154.9,6.770948908371993,3.7501362641474896,7.6363065314635445,1.8863386807403104,0.854153878783342,0.368171533327588,0.0410120461495851,0.1094757849622227,0.0600194301730996,21.3394,108.211,Vietnam,83,59,0.04252729954219598,1.7708520116421442,0.12501075268817202,2.623968400291093,0.03539949352302347
57,889416527.6501625,763828010.5111192,16.441988957043492,0.4757497288383645,0.34600000000000003,2.4,1.76,106,0.762,6.7,5.669085471409267,2.3050897064636486,6.371630584837831,2.647877756958495,0.9872902900552799,0.408679625338384,0.048474694401849,0.1475913742279874,0.0675040829345652,9.2189,105.8099,Vietnam,82,106,0.16460940617807415,2.0253058652647704,0.1441666666666667,1.9615035731076065,0.1982290536826519
58,2355796116.254008,2345691558.127054,0.4307709635542069,0.06096323629860333,0.443475,2.4,1.09,29,0.754,140.0,7.661381406630739,3.7627000265367485,8.652642999073512,2.1432909502495407,0.827992097355448,0.4207821864203154,0.0612501971503199,0.0899857281373249,0.0933137870087502,47.1594,-2.6062,France,81,29,0.02703567121752311,1.462397997898956,0.18478125,3.3976311193055673,0.025401348457751386
59,2952914500.375445,2930996028.9934673,0.7478164816724291,0.239475558045324,0.42526,4.1,1.57,125,0.841,25.8,9.927315628810005,4.54284894084255,11.191529702910088,2.3129155785219466,0.6058971139647088,0.3936991011894029,0.0653303576605055,0.0829052005728911,0.0922757775830274,55.4865,7.8406,Denmark,80,125,0.1018393758143545,2.0969100130080562,0.1037219512195122,4.221690244307743,0.05840867269398147
60,3721178727.18792,3701701556.403015,0.5261680469948836,0.08249848007282123,0.401675,4.8,1.02,69,0.857,44.3,10.039953659841508,4.59412838932801,11.319755407127069,2.3148689759268244,0.5968969960099536,0.3800302512622674,0.064934617552816,0.0861834126356987,0.0931286491254927,55.141,7.1997,Denmark,80,69,0.03313757698325047,1.8388490907372552,0.08368229166666667,4.032798386316838,0.017187183348504425
61,3299292510.002121,3278304704.258912,0.6402030206631861,0.16549451380756264,0.438125,2.5,2.71,111,0.894,172.4,9.923382958976172,4.5452374423685376,11.18491460496586,2.30915643678111,0.6059911658693379,0.419942051288508,0.0604234085821631,0.1088644169058991,0.0830587212535987,55.0168,7.7741,Denmark,80,111,0.07250728386193837,2.0453229787866576,0.17525,4.347682158901435,0.06619780552302505
62,2806640057.889121,2780007252.485059,0.9580120836107572,0.0477171231674714,0.4568,4.2,1.19,114,0.623,66.9,7.92297993487934,4.721965859840944,8.887488387867602,1.7276116897997125,0.7491463308131846,0.4311688450867674,0.0801908221436821,0.0828125761107408,0.1062800415977049,23.5921,120.028,Taiwan,79,114,0.021797181862900934,2.0569048513364727,0.10876190476190475,3.6192172342528823,0.011361219801778904
63,1976731925.648138,1964620232.3315036,0.6164903077609519,0.13685609305581553,0.3993909090909091,3.0,1.17,28,0.638,27.7,6.93369218718235,3.2837739383831597,7.82456427352216,2.2286549512927905,0.8816603732259845,0.4799918743927436,0.1119551866408458,0.0283888250453774,0.1335786549579165,38.9986,118.8044,China,75,28,0.054659079420192214,1.4471580313422192,0.13313030303030302,2.7692536259952925,0.045618697685271846
64,1142837457.4823897,1029757411.4117025,10.981231581102666,0.1210185574050888,0.38758333333333334,3.6,1.9,79,0.837,73.4,5.2207543282304245,2.1921588482715166,5.8707679831206105,2.559782296926552,0.9962114336152905,0.5275437049851094,0.1114257855249467,0.0797287906476453,0.162730846432365,10.1591,106.8469,Vietnam,75,79,0.046904775874255664,1.8976270912904414,0.10766203703703703,2.0234773650499753,0.033616265945857995
65,3116940994.855791,3097199784.768111,0.6373889790631604,0.16463490891262653,0.43155000000000004,3.1,1.14,119,0.787,38.6,9.750289432464376,4.554186504855778,10.998289802625216,2.2622858046806575,0.6299340436326738,0.3504671826715682,0.0723428843406554,0.0399126046421428,0.1116364157198418,54.0341,5.8848,Netherlands,75,119,0.07104819494124398,2.0755469613925306,0.13920967741935486,4.207737404580002,0.05310803513310533
