lon,lat,A_pred_pct
4.0,42.0,1.7348523372957152
5.0,42.0,1.7417346901977304
6.0,42.0,1.7323982818244363
7.0,42.0,1.7213038779653524
8.0,42.0,1.7204876562724518
9.0,42.0,1.7811898546228357
10.0,42.0,1.710384586457024
12.0,42.0,3.206543293740296
13.0,42.0,3.6416253428610337
14.0,42.0,3.866010233699463
15.0,42.0,3.961177912819334
16.0,42.0,4.366237523911143
17.0,42.0,4.433757688321327
18.0,42.0,4.3987444560017455
19.0,42.0,4.313632288562687
20.0,42.0,3.7794181854143494
21.0,42.0,3.674425730463913
22.0,42.0,3.5517631236384544
114.0,42.0,2.0042864735539143
115.0,42.0,1.9880553193402075
116.0,42.0,1.999787571165444
117.0,42.0,2.020487216355092
118.0,42.0,2.013663046170684
119.0,42.0,1.9878163666238675
120.0,42.0,2.4236179216475255
121.0,42.0,3.004371958429006
122.0,42.0,3.4213272793983145
123.0,42.0,3.4129339353514485
124.0,42.0,3.402461908759135
125.0,42.0,3.4110235501752095
126.0,42.0,3.4110235501752095
127.0,42.0,3.3429075403452315
128.0,42.0,3.0539701689159617
135.0,42.0,3.0405131928072717
136.0,42.0,3.0718746762716838
137.0,42.0,3.163968484308613
138.0,42.0,3.1846556299801647
139.0,42.0,3.2606158360609943
140.0,42.0,3.4218951325251092
141.0,42.0,3.4721955770908015
142.0,42.0,3.5102212484872894
143.0,42.0,3.4802946700510295
144.0,42.0,3.433157623411327
-76.0,43.0,0.6202989946332788
-75.0,43.0,0.6128974882601432
-74.0,43.0,0.6128974882601432
-73.0,43.0,0.6128974882601432
-72.0,43.0,0.6128974882601432
-71.0,43.0,0.6244112712833793
