farm_id,R1_f,R2_f,R1_e,R2_e,ws_mean,disp_f,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country,region,A_para,A_real,corr,is_corr
60,0.26180508578731654,0.13457722464906277,0.40849808557993494,0.17852448286461026,10.34938825423288,0.7381949142126835,80,7.196354,55.138005,94.76,175.24,0.9456,4.169,871.3,861.5,4.401,4.351,1.886,1,belt,2024,Denmark,europe,0.39406958,0.5947170524564164,other,False
61,0.2560756077653229,0.14164902640188212,0.42461313340553,0.1915837187411313,10.251533681134273,0.7439243922346771,80,7.776749,55.0175075,93.85,176.15,0.85,2.381,688.9,688.8,3.48,3.479,2.197,1,belt,2024,Denmark,europe,0.3039361,0.5098015193237503,other,False
62,0.40941057653892804,0.787121067824003,0.756352934287432,0.9268380109828412,8.618747830860034,0.590589423461072,79,120.027985,23.592579,73.26,16.74,0.8362,2.259,834.0,792.7,4.212,4.004,1.669,1,cluster,2024,Taiwan,east_asia,2.8626366,0.9866545635470265,other,False
63,0.17284225139215006,0.11946035547411148,0.027701469657593007,0.2103079769783488,7.317668210535691,0.82715774860785,75,118.803596,38.998947,27.5,62.5,0.6969,1.516,778.6,780.8,3.932,3.944,1.7,1,cluster,2024,China,east_asia,0.6318271,0.567270663414238,other,False
64,0.274422075657195,0.5146649005819998,0.38998422792982557,0.7143525424798429,5.7508065351778495,0.725577924342805,75,106.848553,10.163074,76.25,13.75,0.851,2.39,416.3,463.0,2.103,2.338,0.596,10,multi_cluster,2024,Vietnam,east_asia,3.2617457,11.6329486812699,Vietnam,True
65,0.25804003110114226,0.12798584222807957,0.4602562119303575,0.23227419633788582,10.148819947878058,0.7419599688988577,75,5.884929,54.035374,137.37,132.63,0.7154,1.585,644.2,625.7,3.254,3.16,1.977,1,rule_grid,2024,Netherlands,europe,0.27519974,0.5012220902187221,other,False
66,0.2971070694163608,0.17876851972071164,0.2750762325814365,0.31672820591636813,7.345737478556179,0.7028929305836392,74,121.4767415,30.463653,100.88,169.12,0.8299,2.209,432.4,398.7,2.184,2.014,1.113,3,multi_cluster,2024,China,east_asia,0.8551135,5.560136497043811,China strait,True
67,0.2936786736331,0.1488406044396782,0.46847005556954735,0.2429293463804904,9.302085667026436,0.7063213263668999,73,0.292219,53.645441,64.56,25.44,0.6586,1.389,582.2,584.8,2.941,2.954,2.186,1,rule_grid,2024,United Kingdom,europe,0.27952263,0.8062824591677261,other,False
68,0.26554074896952884,0.12245993742024155,0.4097149937376582,0.1706098641315895,10.405925243564559,0.7344592510304712,72,6.8501545,55.1948855,102.51,167.49,0.9715,5.84,991.1,991.1,5.005,5.005,2.162,1,belt,2024,Denmark,europe,0.36676383,0.5995775561763174,other,False
69,0.23940370851038595,0.2717607370235722,0.4970662823271178,0.4266527888798685,9.20887575065985,0.760596291489614,71,0.234987,49.893795,63.4,26.6,0.8368,2.265,1083.2,1088.7,5.471,5.499,2.306,1,rule_grid,2024,France,europe,0.43443194,0.5405850903896668,other,False
