farm_id,year,AEP_real_kWh,AEP_baseWD_kWh,Delta_AEP_WD_kWh,WakeLoss_real,WakeLoss_baseWD,Delta_WakeLoss_WD
62,2023,1144230929.6,1129300007.9,14930921.7,0.0609,0.0732,-0.0123
63,2023,1939235812.3,1995191846.3,-55956034.0,0.1609,0.1367,0.0242
64,2023,1001764998.8,972891484.1,28873514.7,0.1055,0.1313,-0.0258
66,2023,1833956804.6,1897978552.4,-64021747.8,0.1653,0.1361,0.0291
70,2023,1697901841.4,1716867346.9,-18965505.5,0.1443,0.1348,0.0096
71,2023,2440721087.7,2444576453.9,-3855366.2,0.0759,0.0745,0.0015
72,2023,2069167593.6,2078103439.7,-8935846.1,0.1319,0.1282,0.0037
74,2023,2154169527.2,2106416098.1,47753429.1,0.0728,0.0934,-0.0206
76,2023,1625741145.0,1624822444.8,918700.2,0.0641,0.0647,-0.0005
78,2023,1566806578.9,1584853741.0,-18047162.1,0.1348,0.1248,0.0100
79,2023,1164311644.4,1170485748.0,-6174103.6,0.0765,0.0716,0.0049
81,2023,2517135222.6,2495822381.3,21312841.2,0.0919,0.0996,-0.0077
82,2023,1800237040.2,1828525822.4,-28288782.2,0.0986,0.0845,0.0142
85,2023,1644099734.5,1632522096.6,11577637.9,0.1154,0.1216,-0.0062
86,2023,1106317070.9,1113329613.6,-7012542.7,0.0657,0.0598,0.0059
88,2023,1408213941.7,1378569528.1,29644413.6,0.1076,0.1264,-0.0188
89,2023,1678209158.6,1699155788.6,-20946630.0,0.1402,0.1295,0.0107
90,2023,1290821946.3,1294569622.7,-3747676.4,0.1457,0.1432,0.0025
91,2023,1195202504.4,1171747092.0,23455412.4,0.1875,0.2034,-0.0159
92,2023,1764390466.1,1779853592.3,-15463126.1,0.1119,0.1042,0.0078
94,2023,1312918533.7,1318060805.9,-5142272.2,0.1123,0.1089,0.0035
97,2023,1018670767.7,1042583950.8,-23913183.1,0.2056,0.1869,0.0186
98,2023,958585545.2,956062276.5,2523268.7,0.1453,0.1476,-0.0022
101,2023,2108797979.0,2093351214.0,15446765.0,0.0450,0.0520,-0.0070
103,2023,1251825152.3,1258672742.5,-6847590.2,0.1129,0.1080,0.0049
104,2023,747986618.4,746489427.5,1497190.9,0.0917,0.0935,-0.0018
105,2023,958436956.1,964584564.7,-6147608.6,0.1423,0.1368,0.0055
107,2023,727849728.2,738177715.6,-10327987.4,0.1174,0.1049,0.0125
108,2023,1044554914.1,1044873041.3,-318127.3,0.0707,0.0705,0.0003
109,2023,1090757589.1,1078085061.7,12672527.4,0.0917,0.1023,-0.0106
110,2023,998719565.9,1004135179.2,-5415613.3,0.0990,0.0941,0.0049
111,2023,865086367.5,873381135.6,-8294768.1,0.1253,0.1169,0.0084
112,2023,777975582.1,768571151.3,9404430.8,0.0401,0.0517,-0.0116
114,2023,1148112281.7,1147401922.1,710359.5,0.0836,0.0841,-0.0006
115,2023,726051366.3,719177003.0,6874363.3,0.1268,0.1351,-0.0083
118,2023,945680540.6,931944113.6,13736426.9,0.0828,0.0961,-0.0133
119,2023,558853977.8,563404116.5,-4550138.7,0.1190,0.1118,0.0072
120,2023,791039972.2,793839314.0,-2799341.8,0.1229,0.1198,0.0031
124,2023,1216512666.2,1223308803.7,-6796137.5,0.0744,0.0692,0.0052
125,2023,1045841865.1,1047446130.6,-1604265.5,0.0473,0.0459,0.0015
126,2023,716626101.5,720139930.6,-3513829.1,0.1191,0.1148,0.0043
130,2023,449271464.1,449049379.5,222084.6,0.0944,0.0948,-0.0004
131,2023,681169450.8,696609951.6,-15440500.8,0.1085,0.0883,0.0202
133,2023,396849802.4,398979924.9,-2130122.4,0.1048,0.1000,0.0048
135,2023,412163722.2,411994005.5,169716.7,0.1507,0.1510,-0.0003
139,2023,500693608.1,498170118.7,2523489.4,0.1076,0.1121,-0.0045
141,2023,392903610.0,376400781.8,16502828.2,0.0304,0.0712,-0.0407
143,2023,336291693.8,336137986.5,153707.3,0.0087,0.0092,-0.0005
145,2023,459132269.1,464179053.6,-5046784.5,0.0727,0.0625,0.0102
147,2023,307433124.0,308752050.8,-1318926.7,0.0328,0.0287,0.0041
159,2023,168102694.8,167182327.5,920367.3,0.0503,0.0555,-0.0052
165,2023,91166821.0,90150374.0,1016446.9,0.0526,0.0631,-0.0106
166,2023,112776469.0,112592297.3,184171.7,0.0246,0.0262,-0.0016
168,2023,62510306.8,62705098.2,-194791.4,0.0381,0.0351,0.0030
169,2023,83495052.6,83027467.3,467585.3,0.0299,0.0354,-0.0054
0,2024,28901865926.4,29087265713.2,-185399786.8,0.1293,0.1238,0.0056
1,2024,17686934893.0,17883043752.2,-196108859.1,0.1325,0.1229,0.0096
3,2024,13755838383.7,13775081836.4,-19243452.8,0.1441,0.1429,0.0012
4,2024,10618054836.6,10704380717.2,-86325880.6,0.2027,0.1963,0.0065
6,2024,7607323083.8,7581687157.1,25635926.7,0.1330,0.1359,-0.0029
8,2024,9808335233.8,9779887562.6,28447671.2,0.1224,0.1250,-0.0025
