farm_id,year,n_turb,capacity_kW,n_hours,wake_model,turbine_type,country,region,TI,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours,precompute_time_s
109,2019,38,380000.0,8003,gauss,iea_10MW,China,east_asia,0.08,933302343.4930733,1061018339.1058646,0.30689226523378516,0.1203711480806443,107263.45999986542,1.0067776172960983,0.0,350170.0,0.0960155268866309,0.3538812785388128,0.0684931506849315,11.766456400000607
109,2020,38,380000.0,7891,gauss,iea_10MW,China,east_asia,0.08,1006057205.3219563,1140093036.633059,0.3355112104135812,0.11756569596016436,113226.29447519302,0.9885916679577004,0.0,349241.882918419,0.1071387908459524,0.3521174863387978,0.07627504553734062,11.371577699999762
109,2021,38,380000.0,7967,gauss,iea_10MW,China,east_asia,0.08,1137155657.6359203,1281263456.5090303,0.375613767856857,0.11247319834263483,120590.90858786559,0.9289637281723128,0.0,350170.0,0.11542413517524831,0.3134703196347032,0.11118721461187214,12.157155299999431
109,2022,38,380000.0,8091,gauss,iea_10MW,China,east_asia,0.08,1099727146.5781646,1224120764.807929,0.3576836987745203,0.10161874694551275,117216.03238094458,0.9336974601854957,0.0,350170.0,0.1167941545838566,0.3082191780821918,0.09942922374429224,13.018464499997208
109,2023,38,380000.0,7881,gauss,iea_10MW,China,east_asia,0.08,1075415007.0783303,1200977121.2514024,0.3590964969307696,0.10454996348493135,119376.61798574917,0.9724052265145616,0.0,350170.0,0.11884918369676904,0.33321917808219176,0.1047945205479452,12.053278000003047
109,2024,38,380000.0,8067,gauss,iea_10MW,China,east_asia,0.08,1151903573.8849115,1286975808.5049343,0.3757685873848987,0.1049532040364727,120150.17655520489,0.9162217869517316,0.0,350170.0,0.12011841056586588,0.3008879781420765,0.12078779599271403,10.720569799999794
110,2023,38,380000.0,7553,gauss,iea_10MW,China,east_asia,0.08,1008123248.5998136,1108559017.9847388,0.3512453220399749,0.09060029078786305,119093.15459262731,1.0348496929124467,0.0,350170.0,0.08379952049320699,0.38573059360730594,0.08984018264840182,11.376386800002365
110,2024,38,380000.0,7908,gauss,iea_10MW,China,east_asia,0.08,1082321569.0721252,1192440444.731743,0.3601687728190391,0.09234748464472853,120635.06255130375,0.9790605858100914,0.0,350170.0,0.09780257315268132,0.34494535519125685,0.10040983606557377,12.108301699998265
93,2024,39,390000.0,8198,gauss,iea_10MW,United Kingdom,europe,0.06,1758705419.5144656,1858597880.3078823,0.5500733197948423,0.05374613941605769,141487.8539970575,0.7066728149693581,0.0,359385.0,0.1173858590458841,0.21801001821493624,0.29997723132969034,11.364055400001234
104,2024,39,390000.0,8194,gauss,iea_10MW,China,east_asia,0.08,1273765378.2709093,1446880979.8436556,0.398592271477851,0.11964743747716726,124094.36953173613,0.8557658738114448,0.0,354121.8928650549,0.13343959922577706,0.2669626593806922,0.075591985428051,11.855752499999653
107,2021,39,390000.0,7547,gauss,iea_10MW,Vietnam,east_asia,0.07,654243029.726087,739553370.8685609,0.22227987678109046,0.11535386694577847,81697.69699897547,1.0938929315160708,0.0,247762.6529611165,0.05605662746888914,0.46244292237442924,0.008561643835616438,12.01739710000038
107,2022,39,390000.0,7312,gauss,iea_10MW,Vietnam,east_asia,0.07,620519034.1619512,700291115.0788085,0.21759770877586238,0.11391274171439411,86247.9921955861,1.2175813634044714,0.0,265803.93085901905,0.05377326178787533,0.514269406392694,0.014611872146118721,11.906888000001345
107,2023,39,390000.0,7791,gauss,iea_10MW,Vietnam,east_asia,0.07,722150920.8272358,824739157.759129,0.23766769705585203,0.1243887063767316,85495.09306640104,1.0370921003656042,0.0,270696.72027984913,0.07055599954332686,0.41278538812785387,0.009589041095890411,12.250805700001365
107,2024,39,390000.0,7768,gauss,iea_10MW,Vietnam,east_asia,0.07,761292241.0223707,857248168.8044894,0.2512913732282245,0.11193482969574371,96554.24901457442,1.1140695749178129,0.0,325957.4750991902,0.058977570306273486,0.44341985428051,0.02163023679417122,11.740590199999133
47,2021,40,400000.0,7962,gauss,iea_10MW,China,east_asia,0.09,1193877391.5071752,1309892414.8972018,0.37486730454256945,0.08856836032532583,123928.97563992794,0.9093210360866811,0.0,368600.0,0.11428245233474141,0.309703196347032,0.07922374429223744,12.323417800002062
47,2022,40,400000.0,8111,gauss,iea_10MW,China,east_asia,0.09,1392994389.1226592,1526959043.7123127,0.42935346724283663,0.08773297171347914,128711.6081865732,0.8094172500037965,0.0,368600.0,0.12821098298892566,0.2517123287671233,0.10924657534246575,12.254791400002432
