id,lon,lat,first_year,active_2014,active_2015,active_2016,active_2017,active_2018,active_2019,active_2020,active_2021,active_2022,active_2023,active_2024
299,123.310505,39.410053,9999,False,False,False,False,False,False,False,False,False,False,False
300,123.314083,39.4198,9999,False,False,False,False,False,False,False,False,False,False,False
301,123.316525,39.430691,9999,False,False,False,False,False,False,False,False,False,False,False
302,123.310268,39.547062,2017,False,False,False,True,True,True,True,True,True,True,True
303,123.329445,39.46937,2019,False,False,False,False,False,True,True,True,True,True,True
304,123.333218,39.489368,2018,False,False,False,False,True,True,True,True,True,True,True
305,123.328812,39.479424,2018,False,False,False,False,True,True,True,True,True,True,True
306,123.324471,39.489719,2017,False,False,False,True,False,True,True,True,True,True,True
307,123.319759,39.530344,2018,False,False,False,False,True,True,True,True,True,True,True
308,123.324516,39.515556,2017,False,False,False,True,False,True,True,True,True,True,True
309,123.359257,39.469585,2017,False,False,False,True,True,True,True,True,True,True,True
310,123.339512,39.441851,2024,False,False,False,False,False,False,False,False,False,False,True
311,123.358025,39.501057,2017,False,False,False,True,False,True,True,True,True,True,True
312,123.363121,39.514696,2018,False,False,False,False,True,True,True,True,True,True,True
313,123.355412,39.490231,2019,False,False,False,False,False,True,True,True,True,True,True
314,123.343445,39.479422,2019,False,False,False,False,False,True,True,True,True,True,True
315,123.33812,39.469341,2019,False,False,False,False,False,True,True,True,True,True,True
316,123.341061,39.489542,2017,False,False,False,True,False,True,True,True,True,True,True
317,123.36832,39.469408,2018,False,False,False,False,True,True,True,True,True,True,True
318,123.363022,39.490128,2019,False,False,False,False,False,True,True,True,True,True,True
319,123.348927,39.469429,2019,False,False,False,False,False,True,True,True,True,True,True
320,123.353416,39.479305,2019,False,False,False,False,False,True,True,True,True,True,True
321,123.35059,39.500982,2019,False,False,False,False,False,True,True,True,True,True,True
322,123.336853,39.515734,2019,False,False,False,False,False,True,True,True,True,True,True
323,123.348862,39.511808,2018,False,False,False,False,True,True,True,True,True,True,True
324,123.371616,39.479206,2018,False,False,False,False,True,True,True,True,True,True,True
325,123.370544,39.490171,2018,False,False,False,False,True,True,True,True,True,True,True
326,123.370735,39.514067,2018,False,False,False,False,True,True,True,True,True,True,True
327,123.368233,39.441286,2024,False,False,False,False,False,False,False,False,False,False,True
328,123.358631,39.441532,2024,False,False,False,False,False,False,False,False,False,False,True
329,123.348682,39.488077,2019,False,False,False,False,False,True,True,True,True,True,True
330,123.373199,39.500902,2018,False,False,False,False,True,True,True,True,True,True,True
331,123.36285,39.479492,2017,False,False,False,True,False,True,True,True,True,True,True
332,123.349113,39.441687,2024,False,False,False,False,False,False,False,False,False,False,True
333,123.365643,39.500835,2017,False,False,False,True,False,True,True,True,True,True,True
334,123.329945,39.442003,9999,False,False,False,False,False,False,False,False,False,False,False
335,123.329006,39.395912,2024,False,False,False,False,False,False,False,False,False,False,True
336,123.328377,39.419916,2024,False,False,False,False,False,False,False,False,False,False,True
337,123.357151,39.419622,2024,False,False,False,False,False,False,False,False,False,False,True
338,123.346184,39.429914,2024,False,False,False,False,False,False,False,False,False,False,True
339,123.342762,39.419792,2024,False,False,False,False,False,False,False,False,False,False,True
340,123.337212,39.408892,2024,False,False,False,False,False,False,False,False,False,False,True
341,123.335781,39.431772,9999,False,False,False,False,False,False,False,False,False,False,False
342,123.39064,39.567856,2021,False,False,False,False,False,False,False,True,True,True,True
343,123.385937,39.534679,2017,False,False,False,True,True,True,True,True,True,True,True
344,123.40131,39.510931,2024,False,False,False,False,False,False,False,False,False,False,True
345,123.401302,39.477768,2023,False,False,False,False,False,False,False,False,False,True,True
346,123.409294,39.477734,2023,False,False,False,False,False,False,False,False,False,True,True
347,123.386932,39.469358,2018,False,False,False,False,True,True,True,True,True,True,True
348,123.387676,39.510611,2018,False,False,False,False,True,True,True,True,True,True,True
349,123.425297,39.477701,2023,False,False,False,False,False,False,False,False,False,True,True
350,123.377705,39.469309,2018,False,False,False,False,True,True,True,True,True,True,True
351,123.415005,39.440954,2021,False,False,False,False,False,False,False,True,True,True,True
352,123.401287,39.44101,2021,False,False,False,False,False,False,False,True,True,True,True
353,123.380886,39.479206,2017,False,False,False,True,True,True,True,True,True,True,True
354,123.417332,39.477724,2023,False,False,False,False,False,False,False,False,False,True,True
355,123.387302,39.441004,2024,False,False,False,False,False,False,False,False,False,False,True
356,123.378254,39.513456,2018,False,False,False,False,True,True,True,True,True,True,True
357,123.38036,39.526587,2018,False,False,False,False,True,True,True,True,True,True,True
358,123.385685,39.490086,2018,False,False,False,False,True,True,True,True,True,True,True
359,123.388176,39.500845,2018,False,False,False,False,True,True,True,True,True,True,True
360,123.37812,39.490026,2017,False,False,False,True,True,True,True,True,True,True,True
361,123.416035,39.511009,2023,False,False,False,False,False,False,False,False,False,True,True
362,123.377808,39.441137,2024,False,False,False,False,False,False,False,False,False,False,True
363,123.423492,39.510935,2023,False,False,False,False,False,False,False,False,False,True,True
364,123.408192,39.440868,2021,False,False,False,False,False,False,False,True,True,True,True
365,123.408741,39.510899,2024,False,False,False,False,False,False,False,False,False,False,True
