farm_id,year,n_turb,stage,sx_D,sy_D,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
14,2024,181,coarse,2.0,6.0,4270314184.8674197,5848491279.240804,0.3163010597800143,0.2698434551787941,59.1022367000005
14,2024,181,coarse,2.0,7.0,4430370767.967301,5848491279.240804,0.3281564092151127,0.2424762974866895,58.888419499999145
14,2024,181,coarse,2.0,8.0,4638795800.920842,5848491279.240804,0.34359439713682255,0.20683889580442238,58.9118535000016
14,2024,181,coarse,2.0,9.0,4749161754.695516,5848491279.240804,0.3517691745961174,0.18796805399152322,59.13028449999911
14,2024,181,coarse,2.0,10.0,4775516161.54663,5848491279.240804,0.3537212386494887,0.1834618650287972,59.25586789999943
14,2024,181,coarse,2.0,11.0,4835565866.00977,5848491279.240804,0.3581691046234902,0.17319431027048088,58.99787099999958
14,2024,181,coarse,2.0,12.0,4925448998.271135,5848491279.240804,0.3648267248265572,0.15782570869960996,59.26446779999969
14,2024,181,coarse,3.0,3.0,3710689779.9898806,5848491279.240804,0.2748498258242577,0.36553042437440936,59.522485500001494
14,2024,181,coarse,3.0,4.0,4097274318.437043,5848491279.240804,0.3034840419291792,0.29943055006676644,58.725300199999765
14,2024,181,coarse,3.0,5.0,4333027665.236554,5848491279.240804,0.3209462309417859,0.25912043664720535,58.71515179999915
14,2024,181,coarse,3.0,6.0,4598455732.941908,5848491279.240804,0.3406064188052631,0.21373641279690234,59.42658250000022
14,2024,181,coarse,3.0,7.0,4720740765.891139,5848491279.240804,0.3496640393555591,0.19282759595668897,58.822312899999815
14,2024,181,coarse,3.0,8.0,4791389699.3379345,5848491279.240804,0.3548969874605808,0.1807477397897552,59.01067140000305
14,2024,181,coarse,3.0,9.0,4928473020.421274,5848491279.240804,0.3650507133598311,0.15730864848600026,58.97387929999968
14,2024,181,coarse,3.0,10.0,4990264707.3207035,5848491279.240804,0.3696276075193158,0.1467432421360312,58.79735449999862
14,2024,181,coarse,3.0,11.0,5072636548.623053,5848491279.240804,0.37572886835681857,0.13265895315115617,59.185677500001475
14,2024,181,coarse,3.0,12.0,5179925409.208951,5848491279.240804,0.38367572632482627,0.11431424586455734,69.63972289999947
14,2024,181,coarse,4.0,3.0,3977923993.929151,5848491279.240804,0.2946437944690015,0.31983757793248724,77.23041759999978
14,2024,181,coarse,4.0,4.0,4349143134.587631,5848491279.240804,0.3221398995605169,0.2563649449175213,74.32448939999813
14,2024,181,coarse,4.0,5.0,4565379991.112897,5848491279.240804,0.33815650722016244,0.21939184430047887,73.96885190000103
14,2024,181,coarse,4.0,6.0,4754588645.224704,5848491279.240804,0.35217114296457497,0.18704014108713865,76.81537559999924
14,2024,181,coarse,4.0,7.0,4834487055.011445,5848491279.240804,0.35808919737374223,0.17337876997928725,72.54680889999872
14,2024,181,coarse,4.0,8.0,5013383340.950498,5848491279.240804,0.37133999869270595,0.14279031948880874,72.25073369999882
14,2024,181,coarse,4.0,9.0,5088235544.574917,5848491279.240804,0.37688428192534784,0.12999177024755282,72.67887739999787
14,2024,181,coarse,4.0,10.0,5087773470.6283245,5848491279.240804,0.3768500562284373,0.13007077762305025,72.36078790000101
14,2024,181,coarse,4.0,11.0,5155195038.115968,5848491279.240804,0.38184395417719763,0.11854275026205274,71.96128069999759
14,2024,181,coarse,4.0,12.0,5233848418.607874,5848491279.240804,0.3876697895906739,0.10509425957675651,71.7261236000013
14,2024,181,coarse,5.0,3.0,4091484655.017203,5848491279.240804,0.3030552030671689,0.30042049142829175,71.62794650000069
14,2024,181,coarse,5.0,4.0,4473553048.7252865,5848491279.240804,0.33135490950716856,0.23509280682282196,71.91341860000102
14,2024,181,coarse,5.0,5.0,4724401393.851493,5848491279.240804,0.3499351811154379,0.19220168616464614,72.26979039999787
14,2024,181,coarse,5.0,6.0,4860564680.682731,5848491279.240804,0.3600207603171911,0.1689199062439769,72.42669029999888
14,2024,181,coarse,5.0,7.0,5013729705.047449,5848491279.240804,0.3713656537911818,0.1427310966772469,72.45103630000085
14,2024,181,coarse,5.0,8.0,5043572761.968329,5848491279.240804,0.37357612124685513,0.13762840343620403,74.61978219999946
14,2024,181,coarse,5.0,9.0,5108323517.8538,5848491279.240804,0.3783721928756613,0.12655704284183963,70.52815790000022
