farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err,exceeds_global_M_S,exceeds_own_M_S
14,8,China,0.4580654859297189,0.4867271566074594,4.426898676524868,3.2889384535581527,3.7503909123876986,-2.7000331286786876,2.1490226327002238,1.7796224430198415,0.10347322570511193,0,0.0,False,False
15,11,Netherlands,0.3438371088150264,0.2537283474485113,7.8834175460281,6.502122157654725,4.675227012365826,6.502122157654725,2.237725572667816,1.573254650159516,0.04361523499262852,0,0.0,False,False
16,11,Netherlands,0.0,0.0,3.684542817002047,3.4440326445302847,2.6598772161213278,2.6728422975810484,0.941887436829626,0.7739613420572323,0.0,0,0.0,False,False
17,11,United Kingdom,0.38765748381977577,0.40779069736119694,8.263660932990296,7.265564398538285,4.129120073906226,7.265564398538285,1.3838601008284939,1.0589867127905348,0.046911107191264886,0,0.0,False,False
18,11,Germany,0.01656882063913108,0.03376989808413474,5.104218850263273,4.5424571523204085,3.0275642329314376,4.209535700373996,1.5718963279625113,1.3288848996151346,0.0032461031012172353,0,0.0,False,False
19,7,China,0.7849117484981392,0.8083607831133122,7.9142641914553575,6.845807776234645,8.540874344660908,-0.3316272471457142,1.355265418404343,1.0361960886365673,0.09917684443053719,0,0.0,False,False
20,11,Netherlands,-0.12933569337449688,-0.109018105966467,4.458568022701734,4.0320903742527285,3.070436535469161,3.362781745684588,1.4300109760321922,1.204514205189316,-0.029008348132395216,0,0.0,False,False
22,11,Germany,1.4657409767266953,1.4832589909735931,10.387539272285089,9.667005753998522,3.9868495173466223,9.667005753998522,2.9142344032486647,2.451426297707773,0.14110569773126416,0,0.0,False,False
23,11,Netherlands,0.5315405221040288,0.48523277691211325,4.242213980401683,3.9594682416817704,2.9656758525389386,3.1623903701780676,1.9716931463454523,1.6561869829914238,0.1252979044809283,0,0.0,False,False
24,11,China,-0.09115454917584719,-0.11020637264434344,7.9041507302884,6.38113149495,8.029015119330367,-1.9674798964884617,1.3255008341741499,0.9433365931466134,-0.011532491255075194,0,0.0,False,False
25,11,Sweden,0.8088909735332227,0.6705855916634976,7.877259968141171,6.638661274213232,4.658011357531234,6.505890845251319,1.2924782975660567,1.0616985503697647,0.1026868450203123,0,0.0,False,False
26,11,United Kingdom,0.3756860810891478,0.35977955990824917,7.722093670986408,7.073415200958576,3.2491969568141204,7.073415200958576,1.3039433744576763,1.0668168229688404,0.048650805998466766,0,0.0,False,False
27,11,Denmark,0.04654960183440857,0.017965357008542602,5.581985041537359,4.9674490262436155,3.001743901965179,4.792413156737369,1.3212766887760365,1.2190361932862415,0.008339255925628232,0,0.0,False,False
29,8,Sweden,0.0,0.0,7.366333833850408,6.511356912321638,3.6824068700613246,6.511356912321638,1.1655816867705482,0.9820710516169572,0.0,0,0.0,False,False
30,11,United Kingdom,0.13225799725690382,0.1306537361063288,7.186980102910665,6.430772289185112,3.9288299573621055,6.133532755252529,2.520733986628141,2.2087837547518756,0.018402443775145622,0,0.0,False,False
31,11,Netherlands,-0.23577181989492074,-0.1494701600874456,7.779851226039113,6.89164981263122,4.378837994703353,6.564676231396946,3.1287513142838312,2.5470168298513802,-0.030305440688350692,0,0.0,False,False
32,6,China,0.07593998692466201,0.11918995661768535,6.24563659219439,5.007787925814349,5.719014967701624,3.4281238223108095,4.277724009016528,3.8738441064243125,0.01215888657684143,0,0.0,False,False
34,11,China,1.303691988176232,1.2687586448162944,3.259356122550145,2.664217214125655,2.914732307570089,-1.7029594940393862,1.0734832682089435,0.8966412053581173,0.39998451815575575,0,0.0,False,False
36,8,United Kingdom,0.8431741565573316,0.8527075688901211,7.823868460696242,5.767194155024346,5.74934996718663,5.682408888467732,1.3279036987474606,1.204078203777097,0.10776946989754196,0,0.0,False,False
38,11,China,-0.2589005601969235,-0.19315356195352665,6.497856975076229,4.2959596798471855,6.276167599995148,-2.532350695979856,1.583313169808218,1.3250113532234158,-0.03984399182530271,0,0.0,False,False
39,5,Taiwan,1.3141990504194545,1.0742314659120549,3.7501198428493607,3.18150689759927,4.083379143520837,0.8510056709210243,2.262905969224492,1.8622619973099401,0.3504418806575843,0,0.0,False,False
43,11,Denmark,-0.0601280193012623,-0.062228857766970104,9.544130701131028,8.671829936018595,4.180762614780698,8.671829936018595,1.23767933394822,1.0064888619789405,-0.006299999568754525,0,0.0,False,False
45,11,China,0.0,0.0,3.0764409079955217,2.508112004289236,3.1113299839281447,-0.8149530145613139,0.4961556908108861,0.4151608566583875,0.0,0,0.0,False,False
46,11,China,0.08284374378491645,0.3297442596737996,3.090989562506223,2.774476864715536,3.240126319029806,0.10099306819153915,1.141612224655588,0.9783808311149254,0.026801689915039843,0,0.0,False,False
48,6,United Kingdom,0.665656627751931,0.6405108654224179,7.53587366116808,6.816788297508783,3.51922533703668,6.816788297508783,0.8885582334635277,0.6987918990121756,0.08833171277565613,0,0.0,False,False
49,11,France,-0.40791603993148423,-0.3989837385378287,11.679083986081642,10.409703363186262,5.553646235479806,10.409703363186262,4.384218247282999,3.632528610277735,-0.03492705767144166,0,0.0,False,False
50,8,China,0.0,0.0,8.86027356314513,6.88497014931542,8.441210767360843,-4.019597404857346,1.2104999324785273,0.8988963001866553,0.0,0,0.0,False,False
51,8,United Kingdom,0.0,0.0,6.82579463596457,6.238906484829744,2.960215877439069,6.238906484829744,1.454499596673822,1.3146861791835867,0.0,0,0.0,False,False
52,6,China,0.0,0.0,4.75440760373968,4.3138967279975535,3.9131360447518015,3.1374931992305384,1.0544707669155418,0.8337191460577739,0.0,0,0.0,False,False
55,11,United Kingdom,-0.2863901061023981,-0.2922462805899071,8.170868271518152,7.518510148233712,3.3553841520084697,7.518510148233712,2.03173467343388,1.7974779064527253,-0.03505014358152009,0,0.0,False,False
57,11,Vietnam,18.216372552078266,17.878344246340294,18.91056017462272,17.900079756087628,6.396567355082073,17.900079756087628,4.8207376739632,4.417040126220327,0.9632910069223635,0,0.0,True,False
58,7,France,0.3166435821986907,0.7268963176978158,8.101874161358511,7.138572991600275,5.586259431432445,6.236354107441451,1.8873572534611631,1.5357233471577596,0.03908275738333566,0,0.0,False,False
59,11,Denmark,0.48718271775035155,0.4803000154016049,9.137062746276097,8.32078697233627,3.9592248950298385,8.32078697233627,5.0523433662295565,4.268617601688698,0.053319401571244304,0,0.0,False,False
60,11,Denmark,0.0,0.0,4.611643475508344,3.955257926538071,2.9789586160243484,3.6331537344212332,0.962513162860591,0.7451427247622188,0.0,0,0.0,False,False
61,11,Denmark,0.0,0.0,6.0878265496010595,5.440068861795623,2.9668584935059896,5.390694506389663,2.03067634718866,1.7177510425489748,0.0,0,0.0,False,False
63,9,China,0.37554777419483404,0.49887563619477227,4.807482571546708,3.904906060653954,5.084510222609177,0.36347771611205215,1.105757481873814,0.8581698644182086,0.0781173449109373,0,0.0,False,False
65,9,Netherlands,0.3707768966363945,0.37792367290929363,4.024267231933404,3.7140452732628244,3.1404695137309657,2.7254388158958838,1.948801411215148,1.7116157761107393,0.09213525724489718,0,0.0,False,False
66,5,China,7.76323244569124,8.518031026786787,7.440370359955455,6.569391311637018,3.9054783458450584,-6.569391311637018,7.592507872012247,7.478699201739106,1.0433932815325226,1,0.0,True,True
67,11,United Kingdom,2.1023300410163497,2.1076483558032173,6.024769545892727,5.312214245658768,4.325863127137211,4.391576761204107,2.7249285489763806,2.3923952667451918,0.34894779377073,0,0.0,False,False
68,11,Denmark,0.0,0.0,3.309673385314178,2.8727752229017587,3.1901065821050647,1.3047297539799554,1.1140081855980093,0.9533810633136923,0.0,0,0.0,False,False
71,9,Taiwan,1.8712587879098694,1.701473109650432,6.740518014401867,5.850669211226857,3.550321745094094,5.850669211226857,5.103279248169386,4.900936530062116,0.2776134985340469,0,0.0,False,False
72,7,China,-8.948948863199016e-05,0.00046114679143373,6.107549427587445,5.148546144336819,6.120666175060732,2.2784641918177715,1.634989201404674,1.5505760507443473,-1.4652274155616547e-05,0,0.0,False,False
73,8,United Kingdom,-0.3238081846525243,-0.3230447048261282,7.164063766839434,6.667252274562486,2.802357530505439,6.667252274562486,0.793957621476317,0.6914234113483149,-0.0451989534419483,0,0.0,False,False
74,8,China,0.2855959834509226,0.2997044369674356,4.77241608480614,4.009721586193373,5.0981045082139165,-0.1847143928587634,2.4171673961636033,2.056699225344274,0.05984306028138864,0,0.0,False,False
78,5,China,0.7116664162932598,0.7088343512192063,2.639522045230972,2.4326522481818156,2.1823769009838365,1.7767558855684258,2.750081436273732,2.4303991092579458,0.26961942506942965,0,0.0,False,False
80,8,United Kingdom,-0.03336454004195915,-0.04411562996465826,5.9063261767331205,5.520461220024899,4.636662237455738,4.009162230409968,1.2381260389606301,1.1275879801003326,-0.005648949794441185,0,0.0,False,False
81,8,China,0.5399296289422302,0.6084645747192764,3.310768552791248,2.85414239685271,3.2133023207085563,1.3879987685204676,1.6052269424396126,1.5224661101033612,0.1630828674166986,0,0.0,False,False
