farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
135,2019,Japan,54699979.6,65464164.8,57908283.5,64182883.71222589,64182883.71222589,66404092.14004955,0.3053710329823289,0.0334498726846384,0.0
168,2019,China,56754508.3,59735760.0,56532573.4,57357240.12455443,57357240.12455443,61943968.02672794,0.2584008655428861,0.0740464010990448,0.0
169,2019,China,79244969.5,69970102.5,79262326.0,68632406.3447128,68632406.3447128,72945868.01029627,0.3055625588562967,0.0591323646320122,0.0
165,2019,China,79458293.0,81521397.7,79249105.7,79048139.0810248,79048139.0810248,87537562.71676691,0.2659404490681765,0.0969803518885961,0.0
4,2019,China,191393894.7,188232726.8,200933960.2,185493503.25786504,185493503.25786504,192372101.04210103,0.3836632399641455,0.0357567326393684,0.0
52,2019,China,302021633.1,306916938.3,303325796.2,306699040.69989663,306699040.69989663,312091346.1252963,0.6247434219422648,0.017277971633455,0.0
92,2019,China,209888028.0,185515668.3,203845080.7,176276845.59067333,176276845.59067333,191165196.67187577,0.3711872933052713,0.0778821215388774,0.0
32,2019,China,192898077.1,189492130.5,195910208.0,185252218.96998915,185252218.96998915,195580762.155267,0.3289571499067551,0.0528096069953866,0.0
98,2019,China,148873442.1,131363251.0,152014876.7,130767720.13101332,130767720.13101332,136394110.3073015,0.2567849192557944,0.0412509760400334,0.0
147,2019,China,294163896.8,298860663.7,294581664.1,286012024.97983795,286012024.97983795,307728194.3807712,0.3113157708331569,0.0705693199306347,0.0
34,2019,China,1005392334.3,1007876815.3,1034151490.8,1016929338.0377096,1016929338.0377096,1062790759.598244,0.6515227844044653,0.0431518821050634,0.0
139,2019,South Korea,462700523.0,443143144.8,441101988.7,432524849.14280325,432524849.14280325,506868173.5601949,0.3045949641850727,0.1466719125314399,0.0
81,2019,China,1002699842.3,996652072.6,995216670.8,995915340.5025388,995915340.5025388,1051183751.9979584,0.5836866464483744,0.0525773076214051,0.0
71,2019,Taiwan,814957591.8,864076420.3,766763012.2,855580112.1897417,855580112.1897417,940787776.4383292,0.5318654964378243,0.0905705477713263,0.0
131,2019,China,648180691.5,590682553.3,649326674.5,567862321.3153908,567862321.3153908,657701139.3868697,0.3010535832023278,0.1365951990827163,0.0
97,2019,China,684849291.3,694680018.3,684455853.5,653822594.8700134,653822594.8700134,837834166.3665323,0.2594204683810045,0.2196276767925674,0.0
72,2019,China,1120878596.6,1102924807.3,1097998483.0,1078153071.3971372,1078153071.3971372,1226281049.0284405,0.3676942471172284,0.1207944767218431,0.0
