config_hash,ws_bin_m_s,wd_sector_deg,wake_efficiency,p_noWake_kW,n_turbines
000999d0e861,7.0,270,0.75653968,54608.36,20
000999d0e861,8.0,270,0.76205927,81834.08,20
000999d0e861,9.0,270,0.76842614,116677.17,20
000999d0e861,10.0,270,0.78580220,156919.07,20
000999d0e861,11.0,270,0.85008026,184300.00,20
000999d0e861,12.0,270,0.94158384,184300.00,20
000999d0e861,13.0,270,0.99662071,184300.00,20
000999d0e861,14.0,270,1.00000000,184300.00,20
000999d0e861,16.0,270,1.00000000,184300.00,20
000999d0e861,18.0,270,1.00000000,184300.00,20
000999d0e861,20.0,270,1.00000000,184300.00,20
000999d0e861,22.0,270,1.00000000,184300.00,20
000999d0e861,25.0,270,1.00000000,184300.00,20
000999d0e861,30.0,270,1.00000000,0.00,20
