farm_id,year,config_hash
122,2022,28ad3c246038
122,2023,28ad3c246038
122,2024,28ad3c246038
123,2014,28810b15e1d4
123,2015,28810b15e1d4
123,2016,28810b15e1d4
123,2017,28810b15e1d4
123,2018,28810b15e1d4
123,2019,28810b15e1d4
123,2020,28810b15e1d4
123,2021,28810b15e1d4
123,2022,28810b15e1d4
123,2023,28810b15e1d4
123,2024,28810b15e1d4
124,2016,e854cc0a9e3f
124,2017,e854cc0a9e3f
124,2018,e854cc0a9e3f
124,2019,e854cc0a9e3f
124,2020,7a4507850782
124,2021,2602c942431d
124,2022,2602c942431d
124,2023,2602c942431d
124,2024,2602c942431d
125,2023,ac45f12c6805
125,2024,71edab673cd6
126,2021,8a4948cf73ab
126,2022,8a4948cf73ab
126,2023,c5a9c629787e
126,2024,ce47d269fb41
127,2022,ca47c0df6060
127,2023,48134948298e
127,2024,48134948298e
128,2014,aea7d251bf9b
128,2015,aea7d251bf9b
128,2016,da5cf391253e
128,2017,da5cf391253e
128,2018,da5cf391253e
128,2019,da5cf391253e
128,2020,da5cf391253e
128,2021,da5cf391253e
128,2022,da5cf391253e
128,2023,da5cf391253e
128,2024,da5cf391253e
129,2023,07a12b9b14a6
129,2024,cc5b8b05002a
130,2020,5e1f308721d5
130,2021,a4a020dd401c
130,2022,a4a020dd401c
130,2023,a4a020dd401c
130,2024,a4a020dd401c
131,2014,3f83ee92869e
131,2015,3f83ee92869e
131,2016,56e379f0b182
131,2017,cfc5c317763e
131,2018,cfc5c317763e
131,2019,cfc5c317763e
131,2020,cfc5c317763e
131,2021,cfc5c317763e
131,2022,cfc5c317763e
131,2023,cfc5c317763e
131,2024,cfc5c317763e
132,2024,879b5c6f3647
133,2021,0d52e82b29d4
133,2022,a77259600fea
133,2023,f57dd443a3b5
133,2024,5d789a40e5bb
134,2023,dd371c5230e3
134,2024,5136b647df80
135,2016,0bc676195603
135,2017,0bc676195603
135,2018,0bc676195603
135,2019,0bc676195603
135,2020,0bc676195603
135,2021,0bc676195603
135,2022,48f68c4c5bf3
135,2023,48f68c4c5bf3
135,2024,48f68c4c5bf3
136,2023,28c73517f059
136,2024,28c73517f059
137,2014,000999d0e861
137,2015,000999d0e861
137,2016,7d9b133a7b0a
137,2017,7d9b133a7b0a
137,2018,7d9b133a7b0a
137,2019,7d9b133a7b0a
137,2020,7d9b133a7b0a
137,2021,7d9b133a7b0a
137,2022,7d9b133a7b0a
137,2023,7d9b133a7b0a
137,2024,7d9b133a7b0a
138,2024,bf27d3db33d3
139,2017,4c118e206a74
139,2018,da487366d0d6
139,2019,8bbea76ca7c1
139,2020,8bbea76ca7c1
139,2021,8bbea76ca7c1
139,2022,8bbea76ca7c1
139,2023,8bbea76ca7c1
139,2024,8bbea76ca7c1
140,2023,53d809d94d3a
140,2024,53d809d94d3a
