farm_id,n_turb,country,layout_type,spacing_d,WCI_hist,WPD_hist,theta_energy_hist,AxisMismatch,CrosswindAlign,P_A,P_B,P_C,P_D,P_E,paradigm_labels,confidence,is_ambiguous,has_expansion,total_new
93,39,United Kingdom,cluster,6.77,0.345,791.9,231.4,100.89999999999998,79.10000000000002,0,0,1,1,1,C+D+E,1.0,0,True,43
94,50,China,cluster,3.04,0.1066,284.0,78.3,36.900000000000006,36.900000000000006,0,1,0,0,0,B,1.0,0,False,50
95,50,Sweden,cluster,4.27,0.2621,786.2,250.3,97.0,83.0,0,0,1,1,1,C+D+E,1.0,0,True,50
96,50,United Kingdom,belt,2.32,,,,,,1,0,0,0,0,A,0.5,0,False,50
97,49,China,cluster,3.07,,,,,,0,0,1,0,0,C,1.0,0,True,49
98,48,China,rule_grid,4.8,,,,,,0,0,1,0,1,C+E,1.0,0,True,54
99,48,Sweden,rule_grid,1.99,,,,,,0,0,1,0,0,C,1.0,0,True,48
100,48,Netherlands,belt,2.29,,,,,,1,0,0,0,0,A,0.5,0,False,48
101,47,China,belt,2.26,,,,,,0,0,1,0,0,C,1.0,0,True,51
102,45,United Kingdom,belt,3.56,,,,,,0,0,0,0,1,E,1.0,0,False,45
103,41,China,belt,2.32,0.2705,407.7,10.6,57.199999999999996,57.199999999999996,1,0,1,0,0,A+C,0.9533333333333333,0,True,41
104,39,China,cluster,4.0,0.2807,397.2,75.2,48.3,48.3,0,0,1,0,1,C+E,1.0,0,True,39
105,40,China,cluster,2.84,,,,,,0,1,0,0,0,B,1.0,0,False,49
