farm_id,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country
87,56,1.9853655,51.774064,50.99,39.01,0.6958,1.512,874.1,830.5,4.414,4.194,1.699,1,cluster,2024,United Kingdom
88,55,120.053371,34.502541,154.03,115.97,0.9332,3.738,713.2,656.7,3.602,3.316,1.846,1,belt,2024,China
89,55,122.126759,30.929973,65.23,24.77,0.8807,2.717,879.1,866.3,4.44,4.375,2.061,1,belt,2024,China
90,55,116.108585,22.730692,17.47,72.53,0.9726,5.954,549.5,539.5,2.775,2.725,1.055,9,multi_cluster,2024,China
91,55,113.44434,21.89814,25.31,64.69,0.83,2.21,479.7,479.0,2.423,2.419,1.053,5,multi_cluster,2024,China
92,54,121.9077835,30.448442,175.55,94.45,0.8114,2.074,467.1,422.8,2.359,2.135,0.888,2,multi_cluster,2024,China
93,39,-2.260965,56.266247,119.04,150.96,0.6426,1.341,1136.0,1018.1,5.737,5.142,1.508,1,cluster,2024,United Kingdom
94,50,119.453169,37.263684,118.65,151.35,0.6326,1.312,620.1,582.7,3.132,2.943,1.355,1,cluster,2024,China
95,50,13.860567,54.8303605,149.04,120.96,0.6057,1.239,829.0,813.7,4.187,4.109,1.787,1,cluster,2024,Sweden
96,50,1.2273654999999999,51.730347,27.6,62.4,0.8433,2.32,433.7,433.5,2.19,2.189,1.484,1,cluster,2024,United Kingdom
97,49,113.734619,22.118271,102.96,167.04,0.7313,1.65,693.5,741.1,3.502,3.743,1.839,1,rule_grid,2024,China
98,48,119.78996649999999,34.604209999999995,175.94,94.06,0.6306,1.307,1006.8,1150.2,5.085,5.809,2.043,1,rule_grid,2024,China
99,48,12.780673,55.513857,48.11,41.89,0.6282,1.3,307.0,307.1,1.551,1.551,1.965,1,rule_grid,2024,Sweden
100,48,5.5863125,52.7398745,76.53,13.47,0.9806,7.109,441.8,414.5,2.232,2.094,1.398,2,multi_cluster,2024,Netherlands
101,47,119.612339,25.596269,113.48,156.52,0.8905,2.852,482.3,483.7,2.436,2.443,1.105,2,multi_cluster,2024,China
102,45,1.088142,51.457764,171.34,98.66,0.7923,1.953,652.8,660.9,3.297,3.338,2.265,1,rule_grid,2024,United Kingdom
103,41,122.028343,29.068049,63.67,26.33,0.8444,2.33,523.0,521.3,2.641,2.633,1.268,4,multi_cluster,2024,China
104,39,121.680122,30.385234,128.69,141.31,0.8163,2.108,872.9,941.5,4.409,4.755,1.654,1,cluster,2024,China
105,40,121.8605425,28.833841999999997,5.75,84.25,0.8032,2.02,638.2,652.0,3.223,3.293,1.79,1,cluster,2024,China
106,37,119.263103,38.020985,172.77,97.23,0.8509,2.389,645.1,609.1,3.258,3.076,1.212,3,multi_cluster,2024,China
107,39,105.581059,9.080946,31.57,58.43,0.934,3.763,327.4,341.7,1.654,1.726,0.683,4,multi_cluster,2024,Vietnam
108,38,119.62264049999999,37.2422925,176.99,93.01,0.8354,2.252,785.1,710.8,3.965,3.59,1.578,1,cluster,2024,China
109,38,121.6859225,32.369460000000004,170.37,99.63,0.9523,4.467,823.2,836.3,4.157,4.224,2.056,1,belt,2024,China
110,38,122.0567915,29.529712500000002,98.14,171.86,0.894,2.904,732.4,677.8,3.699,3.423,1.349,2,multi_cluster,2024,China
111,36,115.9366645,22.67752,14.72,75.28,0.8782,2.685,491.8,487.1,2.484,2.46,1.104,4,multi_cluster,2024,China
112,36,106.581537,9.6247615,69.1,20.9,0.9552,4.618,301.2,300.5,1.521,1.518,0.789,3,multi_cluster,2024,Vietnam
113,36,4.4215915,52.607425,134.94,135.06,0.7507,1.735,646.8,641.4,3.267,3.239,1.821,1,rule_grid,2024,Netherlands
114,34,121.88207650000001,37.9134255,104.26,165.74,0.77,1.829,1008.8,983.3,5.095,4.966,1.939,1,rule_grid,2024,China
115,35,106.698833,9.918907,122.9,147.1,0.7813,1.89,336.5,322.7,1.699,1.63,0.709,8,multi_cluster,2024,Vietnam
116,35,0.151244,53.805363,38.24,51.76,0.5243,1.05,951.2,940.9,4.804,4.752,1.967,1,rule_grid,2024,United Kingdom
117,32,-70.4393295,41.05439,99.34,170.66,0.7487,1.726,1903.6,1845.8,9.614,9.322,1.993,1,rule_grid,2024,United States of America
118,32,121.79905149999999,30.745478,13.43,76.57,0.5651,1.14,712.4,659.2,3.598,3.329,1.297,4,multi_cluster,2024,China
119,32,121.498434,28.18214,88.74,1.26,0.791,1.945,617.1,575.8,3.116,2.908,1.64,1,cluster,2024,China
120,32,110.55883600000001,20.717193,119.75,150.25,0.7609,1.784,581.8,581.6,2.938,2.938,1.189,4,multi_cluster,2024,China
121,30,6.475562,53.692796,13.39,76.61,0.9131,3.241,551.8,551.4,2.787,2.785,2.462,1,belt,2024,Germany
122,30,1.7865615,52.646276,81.25,8.75,0.8607,2.485,375.8,375.3,1.898,1.895,2.052,1,belt,2024,United Kingdom
123,30,-3.297094,53.993015,138.3,131.7,0.607,1.243,491.1,491.4,2.48,2.482,1.932,1,rule_grid,2024,United Kingdom
124,29,119.372505,25.296141,140.26,129.74,0.754,1.751,449.7,395.6,2.271,1.998,1.573,1,cluster,2024,China
125,28,118.215332,23.921969,27.23,62.77,0.6398,1.333,708.3,665.9,3.578,3.363,1.576,1,cluster,2024,China
126,27,106.453918,9.522959,18.17,71.83,0.9427,4.056,295.1,289.8,1.49,1.464,0.756,4,multi_cluster,2024,Vietnam
127,27,13.658768,54.817829,147.81,122.19,0.9352,3.799,938.6,946.6,4.741,4.781,1.946,1,belt,2024,Sweden
