farm_id,paradigm,A_built,A_fixed,A_C0,A_C1,A_C2,A_C3,t_built_bin,theta_energy_deg,theta_star_off_deg,pos_frac,wake_loss_built,wake_loss_rot,aep_built_MWh
4,S_A,0.5475,0.5475,0.5475,0.4509,0.3522,0.0,20,78.9,55,1.0,0.0381,0.0335,37.6
4,S_B0,3.6185,3.6185,3.6185,2.1523,1.6956,0.0,0,78.9,160,1.0,0.2775,0.2643,28.2
4,S_B45,3.6183,3.6182,3.6183,2.1523,1.6955,0.0,9,78.9,160,1.0,0.2775,0.2643,28.2
4,S_C,1.8154,1.8156,1.8154,1.2449,0.9743,0.0,20,78.9,55,1.0,0.1337,0.1275,33.8
4,S_D,2.7516,2.7516,2.7516,1.7147,1.3513,0.0,0,78.9,70,1.0,0.2106,0.2015,30.8
4,S_E,0.368,0.368,0.368,0.3091,0.2418,0.0,20,78.9,55,1.0,0.0259,0.0225,38.1
5,S_A,0.1115,0.1115,0.1115,0.1176,0.1648,-0.0,25,234.3,55,1.0,0.0241,0.0236,55.1
5,S_B0,0.4217,0.4217,0.4217,0.324,0.4092,-0.0,0,234.3,85,0.6,0.1791,0.181,46.3
5,S_B45,0.4218,0.4218,0.4218,0.324,0.4092,-0.0,9,234.3,85,0.6,0.1791,0.181,46.3
5,S_C,0.2477,0.2477,0.2477,0.2037,0.2579,0.0,25,234.3,140,1.0,0.0863,0.0867,51.5
5,S_D,0.3733,0.3733,0.3733,0.2903,0.3822,0.0,0,234.3,175,0.6,0.1347,0.1369,48.8
5,S_E,0.0854,0.0854,0.0854,0.0873,0.1256,0.0,25,234.3,55,0.8,0.0162,0.0159,55.5
