turbine_id,lon,lat,depth_m,foundation,build_year,active_2024Q4
9016,6.364114999771118,54.5351505279541,-39.0,fixed,2016,True
9017,6.410031080245972,54.535099029541016,-39.0,fixed,2016,True
9018,6.410152435302734,54.529014587402344,-39.0,fixed,2016,True
9019,6.379384279251099,54.53519630432129,-39.0,fixed,2016,True
9020,6.37958526611328,54.52907752990723,-39.0,fixed,2016,True
9021,6.360158205032349,54.54127502441406,-39.0,fixed,2016,True
9022,6.40192437171936,54.5412712097168,-39.0,fixed,2016,True
9023,6.415932655334473,54.541194915771484,-39.0,fixed,2016,True
9024,6.364332914352417,54.529047012329094,-39.0,fixed,2016,True
9025,6.374036550521851,54.541330337524414,-39.0,fixed,2016,True
9026,6.348963975906372,54.52902603149415,-39.0,fixed,2016,True
9027,6.34607982635498,54.541349411010735,-39.0,fixed,2016,True
9028,6.347686767578125,54.522958755493164,-39.0,fixed,2016,True
9029,6.347292423248292,54.51685333251953,-39.0,fixed,2016,True
9030,6.361818075180053,54.516904830932624,-39.0,fixed,2016,True
9031,6.389373540878296,54.51068115234375,-38.0,fixed,2016,True
9032,6.373127698898315,54.49844360351562,-38.0,fixed,2016,True
9033,6.391939640045166,54.52294731140137,-39.0,fixed,2016,True
9034,6.376331806182861,54.5168571472168,-39.0,fixed,2016,True
9035,6.3771812915802,54.522932052612305,-39.0,fixed,2016,True
9036,6.360967636108399,54.51078414916992,-39.0,fixed,2016,True
9037,6.362422704696655,54.52294349670411,-39.0,fixed,2016,True
9038,6.383806943893434,54.49239349365235,-38.0,fixed,2016,True
9039,6.390906810760498,54.51675605773926,-39.0,fixed,2016,True
9040,6.37522840499878,54.510658264160156,-39.0,fixed,2016,True
9041,6.387755870819092,54.50452232360839,-38.0,fixed,2016,True
9042,6.406680583953857,54.52291488647461,-39.0,fixed,2016,True
9043,6.360028028488159,54.504533767700195,-39.0,fixed,2016,True
9044,6.37389874458313,54.50451850891113,-38.0,fixed,2016,True
