farm_id,angle_deg,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
138,60,10,United States of America,562713751.781724,565266227.3314285,0.6423672965544794,0.004515528128674096,0.5009558999954606
138,70,10,United States of America,561414897.4890807,565266227.3314285,0.6408845861747496,0.006813302575194781,0.48761589999776334
138,80,10,United States of America,562713751.781724,565266227.3314285,0.6423672965544794,0.004515528128674096,0.49331110000639455
138,90,10,United States of America,561414897.4890808,565266227.3314285,0.6408845861747497,0.00681330257519457,0.4987892999997712
138,110,10,United States of America,561414897.4890809,565266227.3314285,0.6408845861747499,0.0068133025751943585,0.4893700999964494
138,120,10,United States of America,562713751.781724,565266227.3314285,0.6423672965544794,0.004515528128674096,0.5093048999988241
138,130,10,United States of America,561414897.4890808,565266227.3314285,0.6408845861747497,0.00681330257519457,0.48857719999796245
138,140,10,United States of America,562713751.781724,565266227.3314285,0.6423672965544794,0.004515528128674096,0.5088433000055375
138,150,10,United States of America,561414897.4890808,565266227.3314285,0.6408845861747497,0.00681330257519457,0.4933573999951477
138,160,10,United States of America,562713751.7817239,565266227.3314285,0.6423672965544793,0.004515528128674307,0.5058021000004373
138,170,10,United States of America,561414897.4890807,565266227.3314285,0.6408845861747496,0.006813302575194781,0.48731409999891184
139,10,20,South Korea,1072135825.464524,1130532454.662857,0.6119496720687922,0.051654093571111004,1.7782583000007435
139,20,20,South Korea,1073962726.3758633,1130532454.662857,0.6129924237305155,0.05003812854170891,1.7820569000032265
139,30,20,South Korea,1072135825.4645228,1130532454.662857,0.6119496720687916,0.05165409357111206,1.7794401999999536
139,40,20,South Korea,1073962726.3758638,1130532454.662857,0.6129924237305159,0.05003812854170849,1.7689830999952392
139,50,20,South Korea,1072135825.4645233,1130532454.662857,0.6119496720687918,0.051654093571111635,1.7690682999964338
139,60,20,South Korea,1073962726.3758636,1130532454.662857,0.6129924237305158,0.0500381285417087,1.7770638000001782
139,70,20,South Korea,1072135825.4645224,1130532454.662857,0.6119496720687913,0.051654093571112475,1.776769800002512
139,80,20,South Korea,1073962726.3758636,1130532454.662857,0.6129924237305158,0.0500381285417087,1.7805431000015233
139,90,20,South Korea,1072135825.4645233,1130532454.662857,0.6119496720687918,0.051654093571111635,1.7757486999980756
139,100,20,South Korea,1073962726.3758638,1130532454.662857,0.6129924237305159,0.05003812854170849,1.7738475000005565
139,110,20,South Korea,1072135825.4645233,1130532454.662857,0.6119496720687918,0.051654093571111635,1.7885425000058603
139,120,20,South Korea,1073962726.375864,1130532454.662857,0.612992423730516,0.05003812854170828,1.788279499996861
139,130,20,South Korea,1072135825.4645234,1130532454.662857,0.6119496720687919,0.05165409357111153,1.785556100003305
139,140,20,South Korea,1073962726.375864,1130532454.662857,0.612992423730516,0.05003812854170828,1.7921231000000262
139,150,20,South Korea,1072135825.464523,1130532454.662857,0.6119496720687917,0.05165409357111195,1.788392100002966
139,160,20,South Korea,1073962726.3758633,1130532454.662857,0.6129924237305155,0.05003812854170891,1.7841932000010274
139,170,20,South Korea,1072135825.4645234,1130532454.662857,0.6119496720687919,0.05165409357111153,1.7631257000030018
141,0,18,Vietnam,969035375.6035697,1017479209.1965714,0.6145582037059676,0.04761162012465507,1.5839111999957822
141,10,18,Vietnam,970506818.8673029,1017479209.1965714,0.6154913869021454,0.04616545468910279,1.5776146999996854
141,20,18,Vietnam,969035375.6035702,1017479209.1965714,0.6145582037059679,0.0476116201246546,1.6006435000017518
141,30,18,Vietnam,970506818.8673028,1017479209.1965714,0.6154913869021453,0.04616545468910291,1.6043123999988893
141,40,18,Vietnam,969035375.6035701,1017479209.1965714,0.6145582037059678,0.04761162012465472,1.605424999994284
141,50,18,Vietnam,970506818.8673027,1017479209.1965714,0.6154913869021452,0.046165454689103026,1.5719744000016362
141,60,18,Vietnam,969035375.60357,1017479209.1965714,0.6145582037059678,0.047611620124654835,1.5770600999967428
141,70,18,Vietnam,970506818.8673023,1017479209.1965714,0.615491386902145,0.04616545468910338,1.5668664000040735
141,80,18,Vietnam,969035375.6035702,1017479209.1965714,0.6145582037059679,0.0476116201246546,1.5676880000028177
141,90,18,Vietnam,970506818.8673028,1017479209.1965714,0.6154913869021453,0.04616545468910291,1.5820762000003015
141,100,18,Vietnam,969035375.6035689,1017479209.1965714,0.6145582037059671,0.04761162012465589,1.5884657999995397
141,110,18,Vietnam,970506818.8673024,1017479209.1965714,0.6154913869021451,0.04616545468910326,1.5784510000012233
141,120,18,Vietnam,969035375.6035701,1017479209.1965714,0.6145582037059678,0.04761162012465472,1.5636224999980186
141,130,18,Vietnam,970506818.8673024,1017479209.1965714,0.6154913869021451,0.04616545468910326,1.5837367999993148
141,140,18,Vietnam,969035375.6035696,1017479209.1965714,0.6145582037059676,0.04761162012465519,1.573583500001405
141,160,18,Vietnam,969035375.60357,1017479209.1965714,0.6145582037059678,0.047611620124654835,1.5868981999956304
141,170,18,Vietnam,970506818.8673029,1017479209.1965714,0.6154913869021454,0.04616545468910279,1.578182100005506
144,0,16,Sweden,861339371.6825429,904425963.7302856,0.6145400768282984,0.04763971156912943,0.6796272999999928
144,10,16,Sweden,860780839.1429652,904425963.7302856,0.6141415804387594,0.048257266307688756,0.6908701000065776
144,20,16,Sweden,861339371.6825445,904425963.7302856,0.6145400768282995,0.04763971156912772,0.6908229000036954
144,40,16,Sweden,861339371.682545,904425963.7302856,0.6145400768282998,0.04763971156912719,0.6793261999991955
144,50,16,Sweden,860780839.1429653,904425963.7302856,0.6141415804387595,0.048257266307688625,0.6731595000019297
144,60,16,Sweden,861339371.6825429,904425963.7302856,0.6145400768282984,0.04763971156912943,0.691915000003064
144,70,16,Sweden,860780839.1429653,904425963.7302856,0.6141415804387595,0.048257266307688625,0.6800232000023243
144,80,16,Sweden,861339371.682544,904425963.7302856,0.614540076828299,0.047639711569128246,0.677590399995097
144,90,16,Sweden,860780839.1429647,904425963.7302856,0.6141415804387591,0.048257266307689284,0.6812938999937614
144,100,16,Sweden,861339371.6825424,904425963.7302856,0.6145400768282979,0.04763971156912996,0.6886464999988675
144,110,16,Sweden,860780839.142966,904425963.7302856,0.61414158043876,0.048257266307687834,0.6790812000035658
144,120,16,Sweden,861339371.6825467,904425963.7302856,0.614540076828301,0.047639711569125213,0.6709802999976091
144,130,16,Sweden,860780839.1429653,904425963.7302856,0.6141415804387595,0.048257266307688625,0.6952113000006648
144,140,16,Sweden,861339371.6825427,904425963.7302856,0.6145400768282981,0.047639711569129696,0.6792375999939395
