farm_id,angle_deg,turbine_type,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
91,0,ow_8MW,55,China,2055609756.2431355,2135893390.7142856,0.5333151090294561,0.037587847230662434,10.101246099999116
91,10,iea_10MW,55,China,2967364293.7451825,3108964250.3228564,0.6158913021471943,0.045545701132770885,10.202228100002685
91,10,ow_6MW,55,China,1592972106.276244,1647880235.5714283,0.5510488813740985,0.03332046110507789,10.71128360000148
91,10,ow_8MW,55,China,2049979055.373988,2135893390.7142856,0.5318542588662276,0.040224074719181664,10.992531600000802
91,20,iea_10MW,55,China,2974676699.7826166,3108964250.3228564,0.6174090285974713,0.04319366185259109,10.34440480000194
91,20,ow_6MW,55,China,1596083449.1216855,1647880235.5714283,0.5521251726586708,0.03143237313710571,10.601882099996146
91,20,ow_8MW,55,China,2055609756.2431426,2135893390.7142856,0.5333151090294579,0.03758784723065909,10.477056299998367
91,30,iea_10MW,55,China,2967364293.7451367,3108964250.3228564,0.6158913021471849,0.04554570113278561,11.26542150000023
91,30,ow_6MW,55,China,1592972106.276244,1647880235.5714283,0.5510488813740985,0.03332046110507789,10.298781599994982
91,30,ow_8MW,55,China,2049979055.3739893,2135893390.7142856,0.5318542588662281,0.04022407471918099,11.019087300002866
91,40,iea_10MW,55,China,2974676699.7826056,3108964250.3228564,0.617409028597469,0.043193661852594614,10.338275799993426
91,40,ow_6MW,55,China,1596083449.1216831,1647880235.5714283,0.55212517265867,0.03143237313710716,10.475197300002037
91,40,ow_8MW,55,China,2055609756.2431405,2135893390.7142856,0.5333151090294573,0.03758784723066009,10.338133999997808
91,50,iea_10MW,55,China,2967364293.745222,3108964250.3228564,0.6158913021472026,0.04554570113275816,10.19861949999904
91,50,ow_6MW,55,China,1592972106.2762384,1647880235.5714283,0.5510488813740966,0.033320461105081224,10.093717699994158
91,50,ow_8MW,55,China,2049979055.373981,2135893390.7142856,0.5318542588662258,0.0402240747191849,10.114663899999869
91,60,iea_10MW,55,China,2974676699.782599,3108964250.3228564,0.6174090285974676,0.043193661852596765,10.300925700001244
91,60,ow_6MW,55,China,1596083449.121679,1647880235.5714283,0.5521251726586686,0.031432373137109615,10.345143200000166
91,60,ow_8MW,55,China,2055609756.2431335,2135893390.7142856,0.5333151090294556,0.03758784723066333,10.300707300004433
91,70,iea_10MW,55,China,2967364293.745171,3108964250.3228564,0.615891302147192,0.04554570113277457,10.174196300002222
91,70,ow_6MW,55,China,1592972106.2762399,1647880235.5714283,0.5510488813740971,0.03332046110508036,10.480337000000873
91,70,ow_8MW,55,China,2049979055.3739831,2135893390.7142856,0.5318542588662264,0.0402240747191839,10.487374500000442
91,80,iea_10MW,55,China,2974676699.7825923,3108964250.3228564,0.6174090285974663,0.04319366185259891,10.29655410000123
91,80,ow_6MW,55,China,1596083449.1216729,1647880235.5714283,0.5521251726586665,0.03143237313711338,10.345579099994211
91,80,ow_8MW,55,China,2055609756.243125,2135893390.7142856,0.5333151090294533,0.03758784723066735,10.242598000004364
91,90,iea_10MW,55,China,2967364293.745132,3108964250.3228564,0.6158913021471839,0.04554570113278714,10.321279399999185
91,90,ow_6MW,55,China,1592972106.2762518,1647880235.5714283,0.5510488813741012,0.03332046110507312,10.401369799998065
91,90,ow_8MW,55,China,2049979055.3740005,2135893390.7142856,0.531854258866231,0.040224074719175745,10.494797500003187
91,100,iea_10MW,55,China,2974676699.782616,3108964250.3228564,0.6174090285974712,0.04319366185259124,10.354580599996552
91,100,ow_6MW,55,China,1596083449.1216908,1647880235.5714283,0.5521251726586726,0.03143237313710253,10.175268500002858
91,100,ow_8MW,55,China,2055609756.243151,2135893390.7142856,0.5333151090294601,0.03758784723065518,10.234354000000167
91,110,iea_10MW,55,China,2967364293.7451644,3108964250.3228564,0.6158913021471906,0.045545701132776714,10.574605499998142
91,110,ow_6MW,55,China,1592972106.27624,1647880235.5714283,0.5510488813740971,0.03332046110508021,10.420964299999468
91,110,ow_8MW,55,China,2049979055.373983,2135893390.7142856,0.5318542588662264,0.04022407471918401,10.253755199999432
91,120,iea_10MW,55,China,2974676699.7826056,3108964250.3228564,0.617409028597469,0.043193661852594614,10.271636100005708
91,120,ow_6MW,55,China,1596083449.121682,1647880235.5714283,0.5521251726586696,0.03143237313710788,10.092837500000314
91,120,ow_8MW,55,China,2055609756.2431395,2135893390.7142856,0.5333151090294571,0.03758784723066054,10.243926800001645
91,130,iea_10MW,55,China,2967364293.745127,3108964250.3228564,0.6158913021471829,0.04554570113278868,10.474869099998614
91,130,ow_6MW,55,China,1592972106.2762494,1647880235.5714283,0.5510488813741004,0.03332046110507456,10.75253420000081
91,130,ow_8MW,55,China,2049979055.3739963,2135893390.7142856,0.5318542588662298,0.04022407471917776,10.367424199997913
91,140,iea_10MW,55,China,2974676699.7825923,3108964250.3228564,0.6174090285974663,0.04319366185259891,10.06375670000125
91,140,ow_6MW,55,China,1596083449.1216745,1647880235.5714283,0.552125172658667,0.03143237313711237,10.250089200002549
91,140,ow_8MW,55,China,2055609756.243127,2135893390.7142856,0.5333151090294539,0.03758784723066634,10.090945900003135
91,150,iea_10MW,55,China,2967364293.745162,3108964250.3228564,0.6158913021471901,0.045545701132777484,10.098774000005506
91,150,ow_6MW,55,China,1592972106.276239,1647880235.5714283,0.5510488813740968,0.03332046110508093,10.292149200002314
91,150,ow_8MW,55,China,2049979055.3739798,2135893390.7142856,0.5318542588662256,0.04022407471918546,10.236400399997365
91,160,iea_10MW,55,China,2974676699.7826066,3108964250.3228564,0.6174090285974692,0.04319366185259431,10.510563099996943
91,160,ow_6MW,55,China,1596083449.121678,1647880235.5714283,0.5521251726586682,0.0314323731371102,10.364294699997117
91,160,ow_8MW,55,China,2055609756.243132,2135893390.7142856,0.5333151090294552,0.037587847230663995,10.216879899999185
91,170,iea_10MW,55,China,2967364293.7451644,3108964250.3228564,0.6158913021471906,0.045545701132776714,10.352163100003963
91,170,ow_6MW,55,China,1592972106.2762372,1647880235.5714283,0.5510488813740961,0.033320461105081946,10.416180899999745
91,170,ow_8MW,55,China,2049979055.3739774,2135893390.7142856,0.531854258866225,0.04022407471918658,10.34674570000061
