farm_id,country,lat,lon,wd_deg
57,Vietnam,9.2189,105.8099,108.2
57,Vietnam,9.2189,105.8099,117.3
57,Vietnam,9.2189,105.8099,117.6
57,Vietnam,9.2189,105.8099,166.2
57,Vietnam,9.2189,105.8099,167.3
57,Vietnam,9.2189,105.8099,85.3
57,Vietnam,9.2189,105.8099,77.5
57,Vietnam,9.2189,105.8099,88.2
57,Vietnam,9.2189,105.8099,102.8
57,Vietnam,9.2189,105.8099,83.8
57,Vietnam,9.2189,105.8099,88.3
57,Vietnam,9.2189,105.8099,86.0
57,Vietnam,9.2189,105.8099,100.3
57,Vietnam,9.2189,105.8099,100.3
57,Vietnam,9.2189,105.8099,135.8
57,Vietnam,9.2189,105.8099,136.1
57,Vietnam,9.2189,105.8099,139.4
57,Vietnam,9.2189,105.8099,121.8
